1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.225882	0.000000	1724.197734	0.002376	1978.2
1	-0.221516	0.000000	1724.197734	0.001664	6.8
2	-0.232251	0.000000	1724.197734	0.001970	7.0
3	-0.230692	0.000000	1724.197734	0.002560	7.4
4	-0.235780	0.000000	1724.197734	0.002917	6.0
5	-0.218285	0.000000	1724.197734	0.002134	10.0
6	-0.235800	0.000000	1724.197734	0.002609	7.2
7	-0.249145	0.000000	1724.197734	0.002067	6.5
8	-0.280874	1.000000	1645.825111	0.002952	7.4
9	-0.249760	0.387602	1692.950529	0.001858	10.0
10	-0.261057	0.000000	1724.197734	0.003474	9.5
11	-0.249761	0.000000	1724.197734	0.003342	14.2
12	-0.277103	0.000000	1724.197734	0.002492	6.8
13	-0.295045	0.000000	1724.197734	0.002875	5.9
14	-0.280285	0.000000	1724.197734	0.002288	5.8
15	-0.272313	0.000000	1724.197734	0.001709	4.1
16	-0.281737	0.000000	1724.197734	0.003569	15.9
17	-0.304103	0.000000	1724.197734	0.002591	4.6
18	-0.314528	0.000000	1724.197734	0.002766	9.0
19	-0.343581	0.000000	1724.197734	0.003469	7.9
20	-0.317987	0.000000	1724.197734	0.002496	4.5
21	-0.344703	0.000000	1724.197734	0.003325	11.3
22	-0.324005	0.000000	1724.197734	0.002953	5.7
23	-0.386213	0.000000	1724.197734	0.002247	11.2
24	-0.384007	0.000000	1724.197734	0.003705	4.3
25	-0.381673	0.000000	1724.197734	0.005577	8.3
26	-0.410468	0.000000	1724.197734	0.003034	13.0
27	-0.392987	0.000000	1724.197734	0.002489	4.0
28	-0.420317	0.000000	1724.197734	0.003277	6.1
29	-0.432992	0.000000	1724.197734	0.004215	12.8
30	-0.428051	0.000000	1724.197734	0.004973	2.6
31	-0.426528	0.000000	1724.197734	0.004141	5.6
32	-0.452361	1.000000	1645.825110	0.003736	11.7
33	-0.464178	0.387709	1692.942098	0.003554	7.8
34	-0.486198	0.000000	1724.197734	0.003096	10.9
35	-0.481432	0.000000	1724.197734	0.002415	6.3
36	-0.500403	0.000000	1724.197734	0.002615	12.7
37	-0.495880	0.000000	1724.197734	0.003239	4.8
38	-0.526485	0.000000	1724.197734	0.003288	7.5
39	-0.473080	1.000000	1645.825110	0.003289	6.5
40	-0.491197	2.000000	1574.267500	0.003736	6.1
41	-0.513091	1.387602	1617.330539	0.004064	11.9
42	-0.515449	2.387602	1548.177210	0.004451	8.8
43	-0.541700	1.800482	1588.043302	0.002966	5.7
44	-0.530778	1.188084	1631.873786	0.006423	14.2
45	-0.556526	2.188084	1561.498252	0.004842	2.0
46	-0.499497	1.575686	1603.856137	0.006353	5.8
47	-0.547293	2.575686	1535.826043	0.004172	6.3
48	-0.538165	1.963288	1576.784320	0.007296	6.0
49	-0.528849	2.963288	1510.984321	0.006360	5.8
50	-0.551562	3.963288	1450.456063	0.006325	5.8
51	-0.535717	4.963288	1394.590409	0.008412	7.9
52	-0.555452	5.963288	1342.868586	0.008685	5.8
53	-0.538529	6.963288	1294.846030	0.008482	6.1
54	-0.541925	7.963288	1250.139571	0.006915	6.3
55	-0.562664	8.963288	1208.417195	0.004540	12.3
56	-0.522635	9.963288	1169.389777	0.007059	9.1
57	-0.563095	10.963288	1132.804373	0.002650	7.1
58	-0.579100	11.963288	1098.438737	0.004111	13.7
59	-0.552305	11.350890	1119.232033	0.005363	11.0
60	-0.555656	12.350890	1085.672747	0.006940	11.3
61	-0.552017	13.350890	1054.067373	0.005541	11.0
62	-0.608850	14.350890	1024.250093	0.006116	5.9
63	-0.554241	15.350890	996.073339	0.005430	6.8
64	-0.573966	16.350890	969.405344	0.002803	5.9
65	-0.526245	15.738492	985.564468	0.003459	5.9
66	-0.597341	16.738492	959.448839	0.002798	11.2
67	-0.595924	16.126094	975.275025	0.003960	6.3
68	-0.570878	17.126087	949.694959	0.009877	6.4
69	-0.541154	18.126087	925.422280	0.006446	11.0
70	-0.561408	19.126087	902.359421	0.005330	6.2
71	-0.559269	18.513689	916.344525	0.003633	10.5
72	-0.544951	19.505057	893.916843	0.003328	6.4
73	-0.566969	18.892737	907.637708	0.007332	6.5
74	-0.550966	19.892737	885.442136	0.003218	6.2
75	-0.578646	20.892737	864.306202	0.006111	6.8
76	-0.571981	20.324790	876.184793	0.007824	10.7
77	-0.573461	21.324790	855.483336	0.005958	6.8
78	-0.551429	22.324790	835.737520	0.007036	11.1
79	-0.582433	23.324790	816.882664	0.006402	8.4
80	-0.572704	24.324790	798.859797	0.003305	6.2
81	-0.563529	25.324790	781.615039	0.009899	6.3
82	-0.519531	26.324778	765.099259	0.006801	10.9
83	-0.570844	27.324778	749.266817	0.006753	9.9
84	-0.588760	28.324778	734.076341	0.001851	5.9
85	-0.589442	27.712380	743.304937	0.005075	11.4
86	-0.571627	27.099982	752.768525	0.004141	6.0
87	-0.592513	28.099982	737.437185	0.003416	8.4
88	-0.602225	28.208152	735.816136	0.003101	6.4
89	-0.568528	29.208151	721.160837	0.005487	9.7
90	-0.571468	28.595753	730.065580	0.003953	7.7
91	-0.587324	29.595753	715.636195	0.005602	11.1
92	-0.573019	28.983355	724.404197	0.006381	4.2
93	-0.593954	28.370957	733.389715	0.005880	5.2
94	-0.547818	29.370957	718.829942	0.004806	6.0
95	-0.575298	30.370957	704.837017	0.003842	5.9
96	-0.599504	29.758560	713.340819	0.002913	5.8
97	-0.600613	30.758556	699.558788	0.003120	5.8
98	-0.611110	31.758555	686.299164	0.004134	7.6
99	-0.587911	32.758555	673.532839	0.008703	8.0
100	-0.612373	33.758555	661.232792	0.003881	12.3
101	-0.594415	34.758555	649.373934	0.003568	6.0
102	-0.587376	34.146157	656.585230	0.003379	6.5
103	-0.591699	33.533763	663.958444	0.004997	10.9
104	-0.606551	34.533763	652.002502	0.002323	6.5
105	-0.572043	33.921365	659.272624	0.003210	8.6
106	-0.541629	34.921365	647.483344	0.002801	6.0
107	-0.581266	35.358445	642.461883	0.005173	10.8
108	-0.594438	36.358441	631.261100	0.002498	11.4
109	-0.580188	37.358441	620.444137	0.005197	8.4
110	-0.574606	38.358441	609.991636	0.004169	5.7
111	-0.578891	39.358441	599.885483	0.005953	5.8
112	-0.594181	40.358441	590.108744	0.003383	4.4
113	-0.578491	39.746043	596.057796	0.006543	4.3
114	-0.589652	39.133649	602.127978	0.006612	4.4
115	-0.606166	40.133649	592.278607	0.003907	5.3
116	-0.582544	41.133649	582.746274	0.005655	9.8
117	-0.615217	42.133649	573.515915	0.002795	11.3
118	-0.568390	43.133649	564.573403	0.004674	7.1
119	-0.588555	42.521251	570.016363	0.004764	7.2
120	-0.565724	43.521251	561.181810	0.005157	9.9
121	-0.600997	44.521251	552.616928	0.003378	10.8
122	-0.563144	45.521251	544.309554	0.004879	2.6
123	-0.597622	46.521251	536.248246	0.004339	6.0
124	-0.598608	47.521251	528.422233	0.002120	5.9
125	-0.564350	47.588761	527.902119	0.010489	6.0
126	-0.584168	48.588761	520.316094	0.006730	5.9
127	-0.581184	49.588761	512.945004	0.002863	11.0
128	-0.583389	50.588761	505.779843	0.003579	3.9
129	-0.604007	50.186071	508.640972	0.005438	11.5
130	-0.620290	49.573673	513.054667	0.006460	6.2
131	-0.586570	50.573673	505.886463	0.006182	8.0
132	-0.578215	51.573673	498.915802	0.008552	8.0
133	-0.559814	52.573673	492.134629	0.002950	11.9
134	-0.610075	53.573673	485.535321	0.005483	3.9
135	-0.600693	52.961275	489.555545	0.004080	10.8
136	-0.604459	53.961275	483.024765	0.004421	4.5
137	-0.609466	53.348877	487.003351	0.004493	9.0
138	-0.590650	54.348877	480.540038	0.009446	5.7
139	-0.582221	53.839877	483.808281	0.005022	5.8
140	-0.590774	54.839877	477.428942	0.005712	5.8
141	-0.554560	55.839877	471.215645	0.007248	5.9
142	-0.608881	56.839877	465.161992	0.005759	5.8
143	-0.602011	57.839877	459.261907	0.003653	6.2
144	-0.572237	58.839877	453.509619	0.005029	8.1
145	-0.620763	59.824482	447.984961	0.001634	7.3
146	-0.597337	59.212084	451.405207	0.003461	6.4
147	-0.601519	58.599687	454.878077	0.005871	6.1
148	-0.618430	59.599687	449.234407	0.007791	6.4
149	-0.574957	60.599687	443.729062	0.003569	9.9
150	-0.604314	61.599687	438.357019	0.004310	5.8
151	-0.600393	62.599687	433.113494	0.004484	6.3
152	-0.596242	63.599687	427.993931	0.003740	5.9
153	-0.600781	62.987289	431.114672	0.004435	10.5
154	-0.561662	63.987289	426.041976	0.002788	1.5
155	-0.577690	63.374891	429.134214	0.007557	10.4
156	-0.569404	64.374891	424.107745	0.005180	4.7
157	-0.594867	65.374891	419.197664	0.003678	5.8
158	-0.576279	66.374891	414.399973	0.003570	11.2
159	-0.596180	67.368244	409.741676	0.005463	6.4
160	-0.617161	66.755846	412.601029	0.003037	8.0
161	-0.626334	67.619323	408.580784	0.005016	11.0
162	-0.597634	68.619323	404.021714	0.004818	10.9
163	-0.605382	69.619323	399.563264	0.005892	6.6
164	-0.609437	70.619323	395.202140	0.003859	7.3
165	-0.585604	71.619323	390.935189	0.003149	8.0
166	-0.590302	71.013846	393.507649	0.004588	5.4
167	-0.654881	70.401448	396.144186	0.003398	10.5
168	-0.601489	69.789051	398.816291	0.010156	2.9
169	-0.586178	70.789051	394.471369	0.006085	4.6
170	-0.585105	71.789051	390.220098	0.003294	3.7
171	-0.610269	72.788980	386.059775	0.004918	6.5
172	-0.575915	73.788980	381.986941	0.005853	6.7
173	-0.600951	74.788980	377.999145	0.005116	6.0
174	-0.598816	75.788980	374.093750	0.006175	5.8
175	-0.607718	76.788980	370.268230	0.004344	5.9
176	-0.622954	76.176582	372.601626	0.003521	6.0
177	-0.600768	77.176582	368.806407	0.005562	4.4
178	-0.572438	78.176582	365.087723	0.002634	5.8
179	-0.618100	77.564184	367.356082	0.004509	5.8
180	-0.599987	76.951786	369.652805	0.005273	5.8
181	-0.615769	77.951786	365.917119	0.006833	5.8
182	-0.602663	77.339388	368.195828	0.005614	7.7
183	-0.636767	78.339388	364.489385	0.005377	5.7
184	-0.627353	79.339388	360.856819	0.002347	6.4
185	-0.641211	80.339388	357.295945	0.003416	6.1
186	-0.621552	79.726990	359.468226	0.004712	6.2
187	-0.629329	79.114592	361.667081	0.006284	4.1
188	-0.595347	78.502194	363.893004	0.007607	7.6
189	-0.589489	79.502194	360.272257	0.003636	11.1
190	-0.579766	78.889796	362.480991	0.003731	5.9
191	-0.591552	79.889036	358.890855	0.003945	11.0
192	-0.584285	80.889036	355.368486	0.003833	12.0
193	-0.601313	80.276638	357.517322	0.006041	7.2
