1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.159537	627.201626	0.001892	1827.8
1	-0.000000	623.504937	0.000000	15.1
2	-0.000000	619.865785	0.000000	6.4
3	-0.572816	616.282728	0.009545	12.3
4	-0.559548	612.754375	0.013153	4.2
5	-0.148268	609.279381	0.001614	7.1
6	-0.000000	605.856447	0.000000	7.2
7	-0.001734	602.484317	0.000266	7.1
8	-0.432866	599.161779	0.005331	7.0
9	-0.862295	595.887656	0.004692	7.1
10	-0.307938	592.660813	0.008753	7.2
11	-0.286928	589.480151	0.006620	6.4
12	-0.780095	586.344606	0.006743	6.8
13	-0.005244	583.253145	0.000031	8.7
14	-0.168459	580.204771	0.002217	11.0
15	-0.140870	577.198517	0.003069	7.5
16	-1.162973	574.233444	0.006662	6.7
17	-1.315463	571.308645	0.011049	6.7
18	-0.035986	568.423237	0.002165	11.4
19	-0.001006	565.576365	0.000008	12.3
20	-0.040190	562.767201	0.001568	14.1
21	-0.661755	559.994938	0.009025	11.4
22	-0.635896	557.258797	0.012634	12.5
23	-0.513536	554.558018	0.007226	9.9
24	-0.994891	551.891865	0.015528	7.9
25	-0.029855	549.259621	0.001435	11.3
26	-0.153733	546.660592	0.001277	8.6
27	-0.000000	544.094102	0.000000	7.9
28	-0.115292	541.559494	0.002014	7.2
29	-0.049788	539.056129	0.000499	14.7
30	-0.000000	536.583387	0.000000	5.3
31	-0.269006	534.140663	0.003897	11.5
32	-0.000000	531.727370	0.000000	6.3
33	-0.000331	529.342935	0.000070	10.1
34	-0.000000	526.986802	0.000000	11.1
35	-0.899011	524.658430	0.007793	6.9
36	-0.087175	522.357290	0.001754	9.0
37	-0.116182	520.082868	0.001720	6.6
38	-0.149460	517.834665	0.001719	10.2
39	-0.000000	515.612193	0.000000	6.3
40	-0.632567	513.414976	0.006447	6.6
41	-0.185550	511.242551	0.004753	6.7
42	-0.000000	509.094468	0.000000	12.0
43	-0.000000	506.970285	0.000000	7.0
44	-0.000000	504.869574	0.000000	6.6
45	-0.000000	502.791916	0.000000	6.6
46	-1.145228	500.736903	0.011020	6.5
47	-0.098045	498.704137	0.003784	6.5
48	-0.107825	496.693228	0.000918	6.6
49	-1.081122	494.703798	0.014013	6.8
50	-0.000074	492.735476	0.000017	7.7
51	-0.083228	490.787900	0.003111	7.0
52	-0.425618	488.860718	0.004301	11.8
53	-0.242755	486.953585	0.008303	7.8
54	-0.402746	485.066164	0.006478	10.7
55	-1.294766	483.198126	0.008257	15.9
56	-0.062860	481.349149	0.000863	7.7
57	-0.791703	479.518920	0.005796	6.4
58	-0.032057	477.707132	0.000324	6.4
59	-0.070611	475.913485	0.001029	6.0
60	-0.000080	474.137684	0.000003	9.3
61	-0.079631	472.379445	0.003032	6.4
62	-0.800941	470.638485	0.004748	6.8
63	-0.166407	468.914531	0.002266	6.5
64	-0.000000	467.207315	0.000000	7.0
65	-0.283792	465.516573	0.001064	13.2
66	-0.087895	463.842050	0.003956	3.8
67	-0.968471	462.183494	0.011715	7.9
68	-0.109395	460.540658	0.006403	8.0
69	-1.208729	458.913303	0.007184	6.8
