1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.455238	0.000000	98.916502	0.086941	1768.7
1	-0.970872	0.000000	98.916502	0.056691	1.5
2	-1.357373	1.000000	94.420297	0.098610	2.3
3	-0.993772	0.974182	94.531232	0.053897	1.7
4	-1.366469	1.974182	90.416560	0.104021	1.6
5	-0.977517	1.948365	90.518281	0.055085	1.2
6	-1.319565	2.948365	86.738554	0.094965	1.2
7	-1.063086	2.922547	86.832164	0.067599	1.2
8	-1.551598	3.922547	83.348083	0.034081	1.4
9	-1.308375	3.896730	83.434514	0.094926	1.4
10	-1.086340	4.896730	80.212697	0.066151	1.2
11	-1.452460	5.896730	77.230450	0.055727	1.2
12	-1.237952	5.870912	77.304653	0.084534	1.2
13	-1.323141	6.870912	74.530985	0.098699	1.2
14	-1.159489	7.870912	71.949460	0.086508	1.2
15	-1.395055	8.870912	69.540781	0.112453	1.3
16	-1.030953	9.870912	67.288149	0.071531	1.3
17	-1.470652	10.870912	65.176878	0.091508	1.5
18	-1.116820	10.845095	65.229718	0.075806	1.6
19	-1.543482	11.845095	63.243738	0.032759	1.3
20	-1.406877	12.845095	61.375114	0.104177	1.2
21	-1.129827	13.845095	59.613744	0.078385	1.5
22	-1.476175	14.845095	57.950650	0.046310	1.4
23	-1.373278	15.845095	56.377832	0.098502	1.2
24	-1.235478	16.845095	54.888132	0.097324	1.2
25	-1.398173	17.845095	53.475132	0.107698	1.2
26	-1.217171	18.845095	52.133056	0.088585	1.4
27	-1.454361	19.845095	50.856696	0.078925	1.6
28	-1.239643	20.845095	49.641339	0.091678	1.5
29	-1.453854	21.845095	48.482716	0.100349	1.4
30	-1.227169	22.845095	47.376943	0.091792	1.2
31	-1.479493	23.845095	46.320485	0.077863	1.6
32	-1.339280	24.845095	45.310116	0.101528	1.2
33	-1.397727	25.845095	44.342883	0.100139	1.6
34	-1.288387	26.845095	43.416082	0.099662	1.6
35	-1.370281	27.845095	42.527229	0.100797	1.2
36	-1.287207	28.845095	41.674042	0.098518	1.2
37	-1.443876	29.845095	40.854414	0.106274	1.6
38	-1.286355	30.845095	40.066405	0.099848	1.2
39	-1.403850	31.845095	39.308219	0.087886	1.4
40	-1.319849	32.845095	38.578195	0.102634	1.2
41	-1.401033	33.845095	37.874792	0.104546	1.2
42	-1.369225	34.845095	37.196580	0.100396	1.2
43	-1.452582	35.845095	36.542230	0.097222	1.2
44	-1.349303	36.845095	35.910505	0.106877	1.2
45	-1.421701	37.845095	35.300250	0.097946	1.3
46	-1.411517	38.845095	34.710390	0.109295	1.2
47	-1.354756	39.845095	34.139918	0.103332	1.2
48	-1.433937	40.845095	33.587895	0.101699	1.5
49	-1.374403	41.845095	33.053440	0.113111	1.2
50	-1.378479	42.845095	32.535727	0.101278	1.2
51	-1.424122	43.845095	32.033981	0.100172	1.2
52	-1.408917	44.845095	31.547476	0.106127	1.2
53	-1.411208	45.845095	31.075527	0.102188	1.2
54	-1.433162	46.845095	30.617491	0.100855	1.2
55	-1.431290	47.845095	30.172760	0.106794	1.2
56	-1.384517	48.845095	29.740765	0.103918	1.2
57	-1.428494	49.845095	29.320965	0.103814	1.2
58	-1.419551	50.845095	28.912851	0.110189	1.2
59	-1.415095	51.845095	28.515943	0.107035	1.2
60	-1.412873	52.845095	28.129784	0.102955	1.4
61	-1.442544	53.845095	27.753944	0.101291	1.3
62	-1.468926	54.845095	27.388014	0.101041	1.2
63	-1.430240	55.845095	27.031609	0.101580	1.6
64	-1.434660	56.845095	26.684360	0.091917	1.3
65	-1.426096	57.845095	26.345920	0.092161	1.2
66	-1.416969	58.845095	26.015957	0.102016	1.2
67	-1.453978	59.845095	25.694157	0.094389	1.3
68	-1.464373	60.845095	25.380220	0.093870	1.3
69	-1.432205	61.845095	25.073863	0.098269	1.2
70	-1.423036	62.845095	24.774813	0.083517	1.2
71	-1.436030	63.845095	24.482813	0.073637	1.5
72	-1.506151	64.845095	24.197615	0.085369	1.2
73	-1.450702	65.845095	23.918985	0.095367	1.2
74	-1.419704	66.845095	23.646699	0.095973	1.2
75	-1.485641	67.845095	23.380543	0.094069	1.2
76	-1.455579	68.845095	23.120311	0.093522	1.9
77	-1.445470	69.845095	22.865809	0.093920	1.4
78	-1.450712	70.845095	22.616848	0.089110	1.2
79	-1.500848	71.845095	22.373250	0.083311	1.2
80	-1.438692	72.845095	22.134844	0.076479	1.2
81	-1.459747	73.845095	21.901465	0.064252	1.2
82	-1.546585	74.845095	21.672956	0.065671	1.3
83	-1.497463	75.845095	21.449166	0.077247	1.2
84	-1.454066	76.845095	21.229951	0.088119	1.4
85	-1.482915	77.845095	21.015171	0.093613	1.4
86	-1.500407	78.845095	20.804693	0.087152	1.3
87	-1.457998	79.845095	20.598390	0.079040	1.2
88	-1.471072	80.845095	20.396137	0.065318	1.4
89	-1.505530	81.845095	20.197818	0.060077	1.2
90	-1.483939	82.845095	20.003319	0.059410	1.2
91	-1.478633	83.845095	19.812530	0.055216	1.2
92	-1.497536	84.845095	19.625345	0.057961	1.2
93	-1.539805	85.845095	19.441665	0.060280	1.3
94	-1.519298	86.845095	19.261391	0.054369	1.2
95	-1.455483	87.845095	19.084430	0.048621	1.2
96	-1.540251	88.845095	18.910690	0.057888	1.3
97	-1.526449	89.845095	18.740085	0.066697	1.2
98	-1.509316	90.845095	18.572532	0.067302	1.2
99	-1.490471	91.845095	18.407947	0.060245	1.3
100	-1.514300	92.845095	18.246254	0.055004	1.3
101	-1.528585	93.845095	18.087377	0.053362	1.2
102	-1.513662	94.845095	17.931243	0.048212	1.3
103	-1.495045	95.845095	17.777781	0.042337	1.3
104	-1.495530	96.845095	17.626924	0.033155	1.3
105	-1.476491	97.845095	17.478606	0.026210	1.4
106	-1.505745	98.845095	17.332762	0.023694	1.7
107	-1.496942	99.845095	17.189333	0.025425	1.3
108	-1.499563	100.845095	17.048257	0.025686	1.3
109	-1.528957	101.845095	16.909479	0.021963	1.3
110	-1.515172	102.845095	16.772942	0.016905	1.2
111	-1.562272	103.845095	16.638592	0.013375	1.2
112	-1.544951	104.845095	16.506377	0.015754	1.3
113	-1.447313	105.845095	16.376247	0.014034	1.3
114	-1.518095	106.845095	16.248152	0.009716	1.2
115	-1.556785	107.845095	16.122046	0.008431	1.2
116	-1.478833	108.845095	15.997882	0.006960	1.3
117	-1.562715	109.845095	15.875617	0.006748	1.3
118	-1.521084	110.845093	15.755206	0.006266	1.2
119	-1.521222	111.845078	15.636609	0.005034	1.2
120	-1.466267	112.843251	15.519995	0.003818	1.2
121	-1.544756	113.769159	15.413367	0.004902	1.4
122	-1.517518	114.684319	15.309408	0.005445	1.5
123	-1.522591	115.681216	15.197747	0.003868	1.4
124	-1.479380	116.657488	15.089964	0.002334	1.3
125	-1.507666	116.646147	15.091207	0.003226	1.2
126	-1.541847	116.751183	15.079700	0.003030	1.3
127	-1.524652	117.025567	15.049723	0.004096	1.7
