1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-1.635555	627.201626	0.013680	1791.1
1	-1.411985	623.504937	0.006474	70.0
2	-0.927859	619.865785	0.002216	72.0
3	-1.217435	616.282728	0.005167	71.3
4	-1.316594	612.754375	0.000774	70.8
5	-1.607228	609.279381	0.010827	71.3
6	-0.000000	605.856447	0.000000	72.3
7	-0.174584	602.484317	0.002134	74.0
8	-0.000000	599.161779	0.000000	69.8
9	-0.648226	595.887656	0.001141	72.1
10	-1.323530	592.660813	0.003165	70.9
11	-0.044416	589.480151	0.000590	72.2
12	-0.000000	586.344606	0.000000	71.2
13	-0.000000	583.253145	0.000000	73.1
14	-1.399552	580.204771	0.001628	72.4
15	-0.000000	577.198517	0.000000	70.6
16	-1.090495	574.233444	0.002016	72.0
17	-0.865554	571.308645	0.003204	71.7
18	-0.821632	568.423237	0.002333	69.9
19	-0.000002	565.576365	0.000000	71.0
20	-0.360581	562.767201	0.002127	71.5
21	-1.308734	559.994938	0.003123	72.5
22	-1.180116	557.258797	0.002428	70.1
23	-0.782614	554.558018	0.002038	71.9
24	-1.421538	551.891865	0.001504	72.7
25	-1.283102	549.259621	0.003443	72.3
26	-0.912858	546.660592	0.002209	70.6
27	-0.632830	544.094102	0.001386	72.7
28	-1.388993	541.559494	0.005939	71.3
29	-0.323859	539.056129	0.004796	70.3
30	-0.000000	536.583387	0.000000	71.3
31	-0.876746	534.140663	0.003487	72.4
32	-0.131593	531.727370	0.002151	71.4
33	-0.000002	529.342935	0.000000	70.5
34	-1.331625	526.986802	0.002765	72.9
35	-0.000000	524.658430	0.000000	73.4
36	-1.319710	522.357290	0.002818	71.4
37	-0.000000	520.082868	0.000000	71.3
38	-1.207236	517.834665	0.005240	72.1
39	-1.260238	515.612193	0.001846	71.5
40	-1.180289	513.414976	0.002615	70.1
41	-0.870357	511.242551	0.001787	71.7
42	-1.049006	509.094468	0.001293	71.3
43	-0.803666	506.970285	0.003012	70.5
44	-0.662990	504.869574	0.001707	71.5
45	-1.293455	502.791916	0.003757	71.5
46	-1.018151	500.736903	0.008271	71.4
47	-1.081308	498.704137	0.003230	69.8
48	-1.014486	496.693228	0.001695	72.0
49	-0.865844	494.703798	0.002778	74.1
50	-0.532726	492.735476	0.001319	71.0
51	-0.675293	490.787900	0.002130	71.2
52	-0.000000	488.860718	0.000000	71.2
53	-0.904046	486.953585	0.019322	70.2
54	-1.232153	485.066164	0.008045	71.9
55	-1.358458	483.198126	0.001491	74.1
56	-0.000000	481.349149	0.000000	72.1
57	-0.723114	479.518920	0.001108	70.1
58	-0.005401	477.707132	0.000748	70.9
59	-1.199825	475.913485	0.002137	71.7
60	-1.389243	474.137684	0.011284	69.9
61	-0.000000	472.379445	0.000000	71.6
62	-1.117556	470.638485	0.001206	71.8
63	-0.894201	468.914531	0.002331	74.5
64	-0.562319	467.207315	0.001129	76.9
65	-1.225688	465.516573	0.004898	71.5
66	-1.191778	463.842050	0.006421	72.1
67	-1.446091	462.183494	0.006131	71.8
68	-1.244469	460.540658	0.002433	69.3
69	-0.000000	458.913303	0.000000	73.8
70	-1.098827	457.301192	0.005721	71.4
71	-0.820726	455.704096	0.003116	70.6
72	-0.013431	454.121787	0.001170	70.5
73	-0.000000	452.554045	0.000000	71.4
74	-1.262784	451.000653	0.002627	71.2
75	-1.403862	449.461399	0.002056	70.1
76	-0.769811	447.936075	0.002704	72.2
77	-1.065101	446.424477	0.001745	73.3
78	-0.000000	444.926406	0.000000	71.4
79	-0.937730	443.441666	0.004265	69.8
80	-0.817379	441.970065	0.005295	72.2
81	-0.268850	440.511415	0.001766	71.3
82	-0.290159	439.065533	0.002415	70.7
83	-1.561737	437.632238	0.002437	72.3
84	-1.251479	436.211351	0.003439	73.1
85	-0.122445	434.802701	0.001532	72.2
86	-0.000000	433.406117	0.000000	70.5
87	-1.121921	432.021430	0.007199	71.6
88	-0.353006	430.648479	0.000638	72.1
89	-0.278881	429.287101	0.003333	70.9
90	-1.422085	427.937140	0.018586	72.2
91	-0.909247	426.598440	0.002839	73.3
92	-0.000000	425.270849	0.000000	71.0
93	-0.938293	423.954220	0.002018	73.8
94	-0.000000	422.648404	0.000000	72.3
95	-0.882440	421.353259	0.001252	72.8
96	-0.000000	420.068643	0.000000	69.9
97	-0.000000	418.794419	0.000000	72.1
98	-0.680774	417.530451	0.001369	70.9
99	-1.076401	416.276604	0.003943	71.2
100	-0.163557	415.032748	0.001684	70.9
101	-0.765448	413.798754	0.001793	72.5
102	-0.958919	412.574495	0.001887	72.6
103	-1.308603	411.359849	0.003035	69.5
104	-0.000000	410.154691	0.000000	70.7
105	-1.299536	408.958904	0.003439	72.8
106	-1.482779	407.772368	0.011905	71.1
107	-1.038045	406.594968	0.001363	70.1
108	-0.885733	405.426590	0.001837	73.0
109	-1.107101	404.267122	0.001779	72.7
110	-1.163468	403.116456	0.002647	71.1
111	-0.765932	401.974481	0.002387	73.5
112	-1.241928	400.841093	0.001013	71.5
113	-0.000000	399.716187	0.000000	72.0
114	-0.899113	398.599660	0.003759	69.8
115	-0.974982	397.491411	0.003465	70.8
116	-0.180014	396.391342	0.001143	71.3
117	-1.028397	395.299353	0.002066	69.9
118	-0.989752	394.215350	0.001784	71.1
119	-0.408992	393.139238	0.002919	72.8
120	-0.000000	392.070924	0.000000	72.6
121	-0.555990	391.010316	0.002532	70.3
122	-1.377236	389.957325	0.014498	73.0
123	-0.410959	388.911862	0.001653	71.6
124	-0.375356	387.873839	0.002494	71.6
125	-0.486965	386.843173	0.002884	73.7
126	-0.000000	385.819777	0.000000	72.0
127	-0.000000	384.803569	0.000000	72.7
128	-0.894916	383.794468	0.001528	70.8
129	-1.238924	382.792393	0.001550	72.4
130	-0.995570	381.797264	0.002689	73.4
131	-0.600394	380.809005	0.001761	71.4
132	-0.715516	379.827537	0.001596	71.3
133	-0.000000	378.852786	0.000000	72.3
134	-0.831270	377.884678	0.008243	71.7
135	-1.480484	376.923138	0.003172	71.4
136	-0.688412	375.968095	0.002458	71.8
137	-1.437304	375.019479	0.001852	71.6
138	-1.165552	374.077218	0.001523	71.3
139	-0.777394	373.141244	0.004843	71.9
140	-1.356992	372.211489	0.005520	71.4
141	-0.000000	371.287887	0.000000	72.0
142	-1.186168	370.370370	0.010113	70.2
143	-0.000000	369.458876	0.000000	70.5
144	-0.000000	368.553338	0.000000	71.4
145	-1.115702	367.653696	0.001070	71.2
146	-1.334024	366.759885	0.002372	71.3
147	-1.007863	365.871846	0.002962	73.4
148	-1.379150	364.989518	0.003487	72.1
149	-1.179471	364.112841	0.001188	70.4
150	-1.262240	363.241757	0.002158	70.8
151	-1.367013	362.376208	0.004533	71.7
152	-1.439452	361.516137	0.001984	72.4
153	-1.083717	360.661488	0.004430	70.8
154	-0.371697	359.812206	0.003306	71.0
155	-0.667975	358.968236	0.003284	71.8
156	-0.758128	358.129524	0.002455	70.2
157	-0.000000	357.296018	0.000000	71.2
158	-0.863783	356.467665	0.003086	70.4
159	-0.847340	355.644414	0.001526	70.4
160	-0.495271	354.826213	0.003536	71.4
161	-0.000000	354.013012	0.000000	71.9
162	-1.524228	353.204763	0.008032	72.2
163	-0.310991	352.401415	0.002921	70.2
164	-0.000000	351.602922	0.000000	72.1
165	-0.000001	350.809235	0.000000	71.9
166	-0.693739	350.020308	0.001565	71.1
167	-1.535363	349.236095	0.005243	72.7
168	-0.054093	348.456550	0.002123	72.4
169	-1.060016	347.681627	0.002348	72.3
170	-0.989476	346.911283	0.003538	70.8
171	-0.000000	346.145474	0.000000	70.3
172	-0.427569	345.384157	0.002235	71.3
173	-0.000000	344.627288	0.000000	71.9
174	-0.795089	343.874826	0.001235	71.3
175	-0.000000	343.126729	0.000000	86.9
176	-0.000000	342.382957	0.000000	81.1
177	-0.923607	341.643469	0.002987	72.2
178	-1.398987	340.908224	0.012641	70.5
179	-1.489378	340.177184	0.004123	72.0
180	-0.154381	339.450309	0.001413	73.0
181	-0.800075	338.727561	0.001642	71.6
182	-1.439903	338.008902	0.002146	70.9
183	-1.199290	337.294295	0.004269	71.3
184	-1.234151	336.583703	0.001402	71.3
185	-0.201538	335.877089	0.002402	69.6
186	-0.000000	335.174416	0.000000	70.6
187	-0.932701	334.475651	0.001996	71.9
188	-0.953359	333.780756	0.001891	72.1
189	-1.081105	333.089698	0.002025	71.0
190	-0.342855	332.402443	0.001394	69.9
191	-0.879988	331.718955	0.006172	72.4
192	-0.000000	331.039203	0.000000	71.9
193	-1.262424	330.363153	0.001775	72.8
194	-1.150595	329.690771	0.002970	72.0
195	-0.921297	329.022027	0.001020	71.0
196	-1.120625	328.356888	0.001671	71.3
197	-0.000000	327.695322	0.000000	70.0
198	-1.337736	327.037299	0.006788	71.6
199	-0.575119	326.382787	0.001516	71.0
200	-1.038874	325.731758	0.003349	72.0
201	-0.384454	325.084179	0.002866	71.0
202	-0.000000	324.440023	0.000000	72.2
