1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.389541	0.000000	667.570099	0.003004	2020.3
1	-0.372751	0.000000	667.570099	0.002421	12.6
2	-0.356198	0.968226	638.147666	0.004744	11.9
3	-0.362366	0.379627	655.716403	0.005813	7.2
4	-0.360309	1.379627	626.416701	0.002448	11.0
5	-0.382997	2.357268	600.197436	0.003571	5.9
6	-0.390855	3.344386	575.860562	0.004091	7.4
7	-0.374545	4.344378	553.139324	0.002909	11.2
8	-0.371629	4.934360	540.555925	0.004580	8.9
9	-0.352587	5.911469	520.929287	0.005539	7.9
10	-0.345506	6.427593	511.126598	0.003838	6.9
11	-0.371991	7.423567	493.216492	0.005356	9.4
12	-0.362349	6.843854	503.485338	0.004760	9.0
13	-0.377894	7.843854	486.029789	0.002081	6.7
14	-0.355913	8.492442	475.341183	0.002325	5.9
15	-0.371145	9.363853	461.699387	0.008302	12.2
16	-0.356764	8.774204	470.842884	0.006236	13.8
17	-0.387888	9.774204	455.542963	0.005337	6.2
18	-0.369251	10.774204	441.206083	0.003873	11.5
19	-0.375204	10.712547	442.063900	0.003667	9.5
20	-0.380795	10.124602	450.414507	0.005536	7.8
21	-0.370445	10.925755	439.111679	0.003592	7.9
22	-0.373596	11.912332	425.948917	0.004696	11.4
23	-0.386789	12.912324	413.388720	0.002119	5.7
24	-0.386471	13.662464	404.442452	0.001792	6.4
25	-0.370757	13.665071	404.412044	0.003042	5.9
26	-0.352479	13.136712	410.671422	0.005321	5.2
27	-0.360358	14.136712	398.983607	0.003826	9.1
28	-0.365582	13.625831	404.870340	0.002891	6.2
29	-0.366259	14.600384	393.787103	0.001903	9.8
30	-0.381634	15.430023	384.819193	0.006343	6.9
31	-0.382521	16.316198	375.680610	0.006842	7.1
32	-0.362902	17.316198	365.875863	0.005651	11.2
33	-0.370397	18.316198	356.569880	0.006328	4.9
34	-0.390149	17.726216	362.002113	0.003741	15.9
35	-0.367915	18.726201	352.889825	0.003199	2.0
36	-0.384259	18.152874	358.057293	0.002304	5.2
37	-0.387409	18.040013	359.092400	0.006454	6.5
38	-0.368757	17.449720	364.605307	0.004022	6.1
39	-0.357453	16.859418	370.290221	0.003102	7.4
40	-0.370225	17.858771	360.767253	0.005874	7.8
41	-0.376889	17.268464	366.332235	0.005706	7.9
42	-0.354930	18.268378	357.004105	0.002989	8.4
43	-0.385570	17.731503	361.952698	0.005453	7.5
44	-0.386998	18.726471	352.887422	0.004719	5.7
45	-0.383671	19.725578	344.230155	0.005867	10.1
46	-0.372249	20.725578	335.980296	0.004421	7.8
47	-0.362471	21.725165	328.119791	0.001886	12.4
48	-0.383405	21.151989	332.581511	0.002112	4.6
49	-0.384037	21.523665	329.674599	0.005494	11.8
50	-0.370738	20.957348	334.124361	0.004918	7.2
51	-0.362995	21.957348	326.346312	0.007560	8.5
52	-0.376245	21.367041	330.893347	0.002031	10.4
53	-0.385109	22.366967	323.263833	0.005515	4.8
54	-0.385827	21.783452	327.672764	0.007248	6.1
55	-0.392004	22.783452	320.188823	0.003261	6.5
56	-0.349081	22.193146	324.564740	0.006753	6.4
57	-0.363082	23.192942	317.221967	0.004666	8.9
58	-0.377213	24.192942	310.202686	0.003287	13.0
59	-0.369504	25.188838	303.514287	0.005127	11.0
60	-0.388421	24.598546	307.443399	0.005327	8.5
61	-0.377956	24.581234	307.560169	0.004014	6.1
62	-0.382538	23.990928	311.595532	0.004443	9.1
63	-0.375479	24.990925	304.820397	0.004249	12.5
64	-0.361244	25.987847	298.353151	0.004289	10.4
65	-0.374348	26.987809	292.136113	0.004693	11.0
66	-0.358514	26.600595	294.512540	0.003936	11.5
67	-0.375710	27.600589	288.452722	0.004567	11.3
68	-0.398330	28.600548	282.637445	0.004373	12.3
69	-0.352844	28.010848	286.038147	0.005983	7.8
70	-0.378943	29.010848	280.318625	0.011825	11.6
71	-0.364886	28.420541	283.666908	0.008534	11.0
72	-0.374255	29.420541	278.040889	0.002667	1.6
73	-0.381850	28.878932	281.059986	0.003019	11.6
74	-0.385175	29.877986	275.541018	0.004385	6.9
75	-0.367875	29.645515	276.805796	0.001854	10.1
76	-0.383716	29.078758	279.938497	0.004069	6.3
77	-0.378901	30.074005	274.483510	0.004114	6.6
78	-0.359129	31.073626	269.214443	0.003597	11.9
79	-0.386938	32.073455	264.142823	0.002357	6.1
80	-0.380744	31.515304	266.950223	0.006043	12.0
81	-0.356083	32.023897	264.389696	0.005337	2.5
82	-0.378290	33.023897	259.495757	0.002881	10.2
83	-0.382240	33.980105	254.982635	0.003424	11.7
84	-0.365217	34.530658	252.454635	0.004005	8.2
85	-0.354004	34.953812	250.545434	0.004891	11.9
86	-0.362439	35.808549	246.775745	0.004962	10.9
87	-0.372373	35.229020	249.319163	0.003948	5.3
88	-0.370262	35.988287	245.997431	0.003958	11.3
89	-0.371200	35.401217	248.557973	0.002895	6.1
90	-0.370479	36.401119	244.228202	0.002949	9.7
91	-0.369935	35.835069	246.660597	0.002884	2.6
92	-0.355701	36.601224	243.379758	0.005667	11.6
93	-0.376822	36.010919	245.899774	0.002927	6.4
94	-0.387422	35.420702	248.472130	0.005965	6.0
95	-0.369001	36.420514	244.145708	0.002808	9.5
96	-0.371663	36.533974	243.664239	0.002795	6.3
97	-0.394383	35.948114	246.170965	0.003390	9.6
98	-0.380952	35.933926	246.232310	0.005315	11.2
99	-0.388672	35.623139	247.583804	0.006037	10.3
100	-0.392177	35.033798	250.187792	0.005824	9.1
101	-0.378759	36.033798	245.801134	0.005586	7.6
102	-0.358290	35.443491	248.371811	0.003443	6.5
103	-0.354164	36.443490	244.048056	0.004905	9.7
104	-0.392396	37.443489	239.872267	0.002553	5.6
105	-0.372452	37.989931	237.650254	0.008750	6.7
106	-0.383573	37.399626	240.052430	0.004600	10.7
107	-0.362756	38.399626	236.011118	0.005885	8.1
108	-0.381152	37.809319	238.380112	0.003448	11.8
109	-0.375037	38.809313	234.394469	0.002396	12.5
110	-0.364523	38.220227	236.726078	0.002415	11.1
111	-0.355613	37.762725	238.569128	0.006826	4.8
112	-0.380711	37.172423	240.989996	0.003380	6.4
113	-0.361107	38.172423	236.917324	0.004198	14.7
114	-0.377619	39.055930	233.431938	0.009202	7.1
115	-0.397140	39.834051	230.446139	0.002323	5.8
116	-0.372575	40.834049	226.719298	0.004785	9.6
117	-0.373637	40.243884	228.904035	0.003017	5.6
118	-0.369143	39.692198	230.984749	0.002834	6.3
119	-0.387642	39.559109	231.492379	0.005470	9.6
120	-0.374310	40.500150	227.950208	0.005208	6.8
121	-0.367978	41.500150	224.303014	0.003259	8.1
122	-0.385824	40.917739	226.412856	0.005819	8.5
123	-0.372395	41.917566	222.814915	0.006018	6.0
124	-0.357479	42.427117	221.024897	0.008210	9.1
125	-0.367577	43.427117	217.594278	0.003967	7.2
126	-0.359946	44.427117	214.268528	0.005131	6.3
127	-0.359452	45.427117	211.042910	0.002983	11.7
128	-0.376394	46.426924	207.913563	0.006717	10.9
129	-0.380664	47.426749	204.875612	0.001540	6.3
130	-0.372224	48.129870	202.791819	0.003965	6.5
131	-0.382341	48.678396	201.195390	0.002116	7.2
132	-0.381651	48.099078	202.882186	0.001812	15.4
133	-0.381610	48.904606	200.544326	0.003824	3.9
134	-0.351742	48.539788	201.596418	0.005702	11.3
135	-0.380992	49.539788	198.738507	0.004872	7.0
136	-0.376067	50.538650	195.963608	0.002796	11.3
137	-0.374611	51.521803	193.306999	0.002164	7.1
138	-0.370283	52.455643	190.849492	0.002209	5.7
139	-0.379048	52.788191	189.989371	0.004425	11.1
140	-0.377311	52.339309	191.152225	0.007102	3.0
141	-0.366052	53.339309	188.580877	0.004047	9.2
142	-0.384241	52.749002	190.090329	0.005661	13.1
143	-0.378425	53.721055	187.617428	0.003174	11.1
144	-0.363591	54.720328	185.141459	0.005811	9.2
145	-0.375252	54.130126	186.595881	0.002979	10.8
146	-0.370472	55.130111	184.144904	0.003263	7.1
147	-0.360687	54.539915	185.583636	0.003227	9.4
148	-0.364046	53.949690	187.045099	0.005382	8.4
149	-0.385348	54.949688	184.582353	0.004070	5.9
150	-0.385913	55.948632	182.186113	0.004600	6.5
151	-0.384447	55.358362	183.594457	0.003410	7.4
152	-0.366400	56.358359	181.221167	0.002162	6.1
153	-0.385474	56.039482	181.971267	0.005942	6.2
154	-0.368610	55.453566	183.365836	0.003409	6.2
155	-0.375942	54.891873	184.722970	0.004736	6.1
156	-0.367889	54.301567	186.171055	0.002767	7.6
157	-0.378088	55.287316	183.765439	0.004652	8.2
158	-0.371729	54.734026	185.107973	0.004368	5.7
159	-0.370150	55.734026	182.695641	0.003679	8.0
160	-0.373180	55.143730	184.111970	0.004044	5.8
161	-0.378123	54.774956	185.007987	0.004731	6.2
162	-0.364489	54.193036	186.439766	0.001971	11.2
163	-0.381999	55.189144	184.002227	0.002430	7.2
164	-0.378445	56.138246	181.738279	0.003826	5.1
165	-0.348506	55.550708	183.133148	0.002839	8.5
166	-0.375555	56.549920	180.773522	0.002095	5.6
167	-0.358182	56.726126	180.363706	0.004842	7.9
168	-0.370438	57.553469	178.464074	0.002637	9.7
169	-0.374182	57.070091	179.569051	0.002695	9.8
170	-0.385668	56.489539	180.914382	0.002930	11.1
171	-0.378056	57.265091	179.121648	0.002151	10.3
172	-0.370382	56.906609	179.945863	0.003174	8.6
173	-0.352243	56.375580	181.180835	0.007237	6.3
174	-0.368652	57.375580	178.869135	0.004217	7.0
175	-0.366266	58.375580	176.615682	0.004997	6.4
176	-0.372217	59.375482	174.418514	0.003620	5.9
177	-0.382533	60.375479	172.275140	0.009171	6.1
178	-0.384254	61.375479	170.183800	0.009161	12.6
179	-0.353378	60.785173	171.412148	0.002509	8.8
180	-0.370056	60.216820	172.611685	0.010313	11.5
181	-0.369205	59.632230	173.863132	0.002225	8.6
182	-0.382601	60.623879	171.750868	0.001792	6.6
183	-0.365929	60.261164	172.517491	0.003804	6.2
184	-0.371379	59.762541	173.582603	0.008538	11.1
185	-0.361599	60.762541	171.459594	0.001968	5.4
186	-0.351749	61.761553	169.389911	0.004221	7.7
187	-0.389538	61.328467	170.280980	0.008912	11.1
188	-0.379549	62.328000	168.238432	0.003674	6.9
189	-0.383229	61.737700	169.438745	0.003699	11.0
190	-0.384509	62.729499	167.431697	0.004517	6.5
191	-0.390372	63.729379	165.455858	0.002771	8.4
192	-0.393477	63.800957	165.316202	0.003010	15.9
193	-0.367867	63.247556	166.402122	0.004466	3.9
194	-0.370950	62.663580	167.563617	0.004608	7.7
195	-0.366985	63.663216	165.585160	0.007555	12.0
196	-0.385267	63.072910	166.747792	0.005523	5.3
197	-0.375741	64.056066	164.820368	0.002495	6.0
198	-0.371185	63.465791	165.972188	0.005654	13.3
199	-0.372772	64.465775	164.030246	0.003922	5.6
200	-0.380245	63.875475	165.171059	0.007420	6.8
201	-0.384216	64.743612	163.498734	0.005548	10.5
202	-0.362480	65.743612	161.613884	0.004384	8.8
203	-0.386155	66.020508	161.099635	0.006540	6.6
204	-0.367145	67.020506	159.269387	0.003300	8.2
205	-0.386374	66.430200	160.344734	0.003916	6.7
206	-0.373766	67.429722	158.532355	0.003124	5.9
207	-0.380889	66.907824	159.473542	0.002998	6.9
208	-0.368280	66.318544	160.549770	0.003041	10.5
209	-0.362791	66.173924	160.816119	0.003909	9.3
210	-0.349382	65.603970	161.874474	0.002261	11.2
211	-0.376724	65.640737	161.805781	0.003467	11.9
212	-0.373280	65.055014	162.907092	0.008201	12.6
213	-0.369569	66.054465	161.036796	0.002546	14.5
214	-0.395094	65.464161	162.136219	0.004016	11.7
215	-0.370994	64.875254	163.248100	0.004063	5.8
216	-0.372252	64.286887	164.374297	0.007145	6.1
217	-0.381688	65.286886	162.469325	0.005679	6.9
218	-0.372243	66.286886	160.608000	0.002024	10.0
219	-0.381921	67.286709	158.789158	0.006164	6.7
220	-0.375817	68.227061	157.115699	0.004154	8.3
221	-0.359939	69.227061	155.374363	0.003619	6.4
222	-0.397498	68.789860	156.130905	0.003985	15.0
223	-0.381191	69.499039	154.907414	0.005659	7.8
