1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.330482	627.201626	0.001798	1713.0
1	-0.040237	623.504937	0.000420	14.7
2	-0.000000	619.865785	0.000000	10.5
3	-0.000000	616.282728	0.000000	7.7
4	-0.243983	612.754375	0.002017	8.3
5	-0.451999	609.279381	0.003083	8.5
6	-0.000000	605.856447	0.000000	12.9
7	-0.000000	602.484317	0.000000	13.4
8	-0.000000	599.161779	0.000000	11.6
9	-0.430902	595.887656	0.002165	7.6
10	-0.000000	592.660813	0.000000	8.3
11	-0.006347	589.480151	0.000397	13.6
12	-0.040839	586.344606	0.000663	3.9
13	-0.000000	583.253145	0.000000	8.5
14	-0.000000	580.204771	0.000000	8.4
15	-0.175966	577.198517	0.000835	8.3
16	-0.000000	574.233444	0.000000	8.6
17	-0.077126	571.308645	0.000359	12.9
18	-0.470643	568.423237	0.001388	14.2
19	-0.033656	565.576365	0.001295	8.2
20	-0.000000	562.767201	0.000000	8.6
21	-0.000000	559.994938	0.000000	13.8
22	-0.275520	557.258797	0.005086	8.9
23	-0.221336	554.558018	0.001053	8.4
24	-0.000000	551.891865	0.000000	12.8
25	-0.044362	549.259621	0.000766	8.6
26	-0.161553	546.660592	0.001361	13.4
27	-0.000000	544.094102	0.000000	13.4
28	-0.000000	541.559494	0.000000	8.0
29	-0.160520	539.056129	0.000620	8.4
30	-0.006131	536.583387	0.000136	8.1
31	-0.000000	534.140663	0.000000	8.0
32	-0.000000	531.727370	0.000000	10.5
33	-0.064726	529.342935	0.000914	8.2
34	-0.588159	526.986802	0.003245	8.2
35	-0.366799	524.658430	0.002213	8.5
36	-0.138188	522.357290	0.001826	8.4
37	-0.015470	520.082868	0.000366	9.0
38	-0.006098	517.834665	0.000144	9.7
39	-0.000000	515.612193	0.000000	8.2
40	-0.173071	513.414976	0.000538	8.2
41	-0.019280	511.242551	0.000390	12.1
42	-0.089898	509.094468	0.001366	9.5
43	-0.000000	506.970285	0.000000	9.1
44	-0.000000	504.869574	0.000000	8.2
45	-0.000000	502.791916	0.000000	8.1
46	-0.000000	500.736903	0.000000	8.1
47	-0.031708	498.704137	0.000853	8.5
48	-0.110232	496.693228	0.001818	10.3
49	-0.332356	494.703798	0.001845	12.7
50	-0.010987	492.735476	0.000047	11.9
51	-0.000000	490.787900	0.000000	8.0
52	-0.196243	488.860718	0.001400	8.1
53	-0.293963	486.953585	0.001041	16.1
54	-0.397333	485.066164	0.001885	11.2
55	-0.604530	483.198126	0.001942	4.6
56	-0.032033	481.349149	0.000341	8.6
57	-0.000000	479.518920	0.000000	8.2
58	-0.431082	477.707132	0.001566	10.0
59	-0.044204	475.913485	0.000330	9.9
60	-0.163901	474.137684	0.001484	8.3
61	-0.000000	472.379445	0.000000	13.8
62	-0.330559	470.638485	0.002015	7.2
63	-0.000138	468.914531	0.000017	15.4
64	-0.000000	467.207315	0.000000	7.7
65	-0.065466	465.516573	0.001344	8.3
66	-0.036297	463.842050	0.000403	8.5
67	-0.044300	462.183494	0.000157	8.3
68	-0.000000	460.540658	0.000000	8.9
69	-0.000000	458.913303	0.000000	10.6
70	-0.563696	457.301192	0.002568	8.3
71	-0.048855	455.704096	0.000363	8.5
72	-0.234485	454.121787	0.000646	9.1
73	-0.000000	452.554045	0.000000	9.4
74	-0.000000	451.000653	0.000000	8.9
75	-0.300572	449.461399	0.002790	8.7
76	-0.000000	447.936075	0.000000	8.3
77	-0.035193	446.424477	0.000238	8.6
78	-0.077728	444.926406	0.002960	10.8
79	-0.081505	443.441666	0.000408	8.5
80	-0.000000	441.970065	0.000000	10.1
81	-0.000000	440.511415	0.000000	13.9
82	-0.423758	439.065533	0.002633	14.0
83	-0.340209	437.632238	0.001424	12.4
84	-0.296845	436.211351	0.001245	9.8
85	-0.080373	434.802701	0.000450	8.9
86	-0.084545	433.406117	0.000829	11.1
87	-0.245711	432.021430	0.001346	14.2
88	-0.304114	430.648479	0.001359	12.6
89	-0.250840	429.287101	0.000507	8.6
90	-0.441530	427.937140	0.004088	8.9
91	-0.000000	426.598440	0.000000	9.8
92	-0.194991	425.270849	0.001192	8.5
93	-0.008138	423.954220	0.000787	11.2
94	-0.000000	422.648404	0.000000	7.6
95	-0.084101	421.353259	0.002065	8.6
96	-0.000000	420.068643	0.000000	9.9
